MV_ID,NOME,SKU,PRODUTTORE,SIZE,LINGUA,TOP/TAB,PROMO,VALORE (STIMA),OPENING,CONDITIONS,MORE INFO
can_1icdhqz,LO-CARB ASSASSIN'S CREED,0617B,AG,473ML,USA,SILVER/LIGHT BLUE,YES,25,,OK,
can_91do26,LO-CARB ASSASSIN'S CREED 710,0617B,BALL,710ML,USA,TWIST TOP,YES,40,PLASTIC,OK,
can_bu6ujz,LO-CARB BF1,0516,REXAM,473ML,USA,SILVER/LIGHT BLUE,YES,25,,OK,
can_mfjn0p,LO-CARB BF1 710,0516,REXAM,710ML,USA,TWIST TOP,YES,30,PLASTIC,OK,
can_pswya5,LO-CARB BILLABONG XXL 708,076,REXAM,708ML,USA,SILVER,,450,,Minor Dents,
can_1dq2ha8,LO-CARB CARIBBEAN,0411,MCC,473ML,CARIBBEAN,SILVER/LIGHT BLUE,,50,BOTTOM OPENED,OK,Carbonated Energy Drink
can_16hv61q,LO-CARB COD BO4,0518,AG,473ML,USA,SILVER/LIGHT BLUE,YES,20,,OK,
can_so9rrf,LO-CARB COD BO4 710,0518 N,BALL,710ML,USA,TWIST TOP,YES,25,,OK,
can_mecpoz,LO-CARB COD GHOST,0613,BALL,473ML,USA,SILVER/LIGHT BLUE,YES,15,,OK,
can_1u5ly7b,LO-CARB FIRST RELEASE,107,MCC,500ML,UK,SILVER,,200,BOTTOM OPEN,OK,
can_1kexny2,LO-CARB HALO,0520,AG,473ML,USA,SILVER/LIGHT BLUE,YES,10,,OK,
can_1fxua93,LO-CARB HALO 710,0520 N,BALL,710ML,USA,TWIST TOP,YES,20,PLASTIC,OK,
can_58f14y,LO-CARB NEW DESIGN,0720 N,BALL,473ML,USA,SILVER/LIGHT BLUE,,6,,OK,
can_1k97dw1,LO-CARB NEW SMALL LOGO,0523,CROWN,473ML,MEXICO,SILVER/LIGHT BLUE,,11,BOTTOM OPENED,OK,Latest version 2023
can_ncswx8,LO-CARB PRICEMARK 1.39£,0411,REXAM,500ML,UK,SILVER,,10,,OK,
can_1kvrh62,LO-CARB SILVER SYMBOLS,0119,CROWN,473ML,MEXICO,SILVER/LIGHT BLUE,,30,BOTTOM OPENED,OK,Silver symbols design
